Channel	X	Y
Start Time	9/18/2019  16:29:09.	9/18/2019  16:29:09.
Chart History (Refresh Period)	3.829480E-5	3.829480E-5

Time	X	Y
9/18/2019  16:29:09.	9.667973E-2	4.519463E+0
9/18/2019  16:29:09.	9.555238E-2	4.497881E+0
9/18/2019  16:29:09.	9.297559E-2	4.474851E+0
9/18/2019  16:29:09.	9.184825E-2	4.450854E+0
9/18/2019  16:29:09.	9.281454E-2	4.427823E+0
9/18/2019  16:29:09.	9.394189E-2	4.401571E+0
9/18/2019  16:29:09.	9.233140E-2	4.374192E+0
9/18/2019  16:29:09.	8.749991E-2	4.346974E+0
9/18/2019  16:29:09.	9.104300E-2	4.317984E+0
9/18/2019  16:29:09.	8.782201E-2	4.291733E+0
9/18/2019  16:29:09.	8.395682E-2	4.261294E+0
9/18/2019  16:29:09.	8.492312E-2	4.229727E+0
9/18/2019  16:29:09.	8.717781E-2	4.199127E+0
9/18/2019  16:29:09.	8.186318E-2	4.164823E+0
9/18/2019  16:29:09.	8.282948E-2	4.131001E+0
9/18/2019  16:29:09.	8.025269E-2	4.097502E+0
9/18/2019  16:29:09.	8.138003E-2	4.063198E+0
9/18/2019  16:29:09.	8.009164E-2	4.029055E+0
9/18/2019  16:29:09.	7.799799E-2	3.989275E+0
9/18/2019  16:29:09.	8.411787E-2	3.952072E+0
9/18/2019  16:29:09.	7.767590E-2	3.914546E+0
9/18/2019  16:29:09.	7.445491E-2	3.874766E+0
9/18/2019  16:29:09.	7.509910E-2	3.835469E+0
9/18/2019  16:29:09.	7.461596E-2	3.794401E+0
9/18/2019  16:29:09.	7.477701E-2	3.753010E+0
9/18/2019  16:29:09.	7.123392E-2	3.710170E+0
9/18/2019  16:29:09.	7.236126E-2	3.667492E+0
9/18/2019  16:29:09.	7.091182E-2	3.626745E+0
9/18/2019  16:29:09.	6.769083E-2	3.580201E+0
9/18/2019  16:29:09.	6.752978E-2	3.535268E+0
9/18/2019  16:29:09.	6.865713E-2	3.487757E+0
9/18/2019  16:29:09.	6.205410E-2	3.440086E+0
9/18/2019  16:29:09.	6.463089E-2	3.392092E+0
9/18/2019  16:29:09.	6.173200E-2	3.343777E+0
9/18/2019  16:29:09.	6.157095E-2	3.295300E+0
9/18/2019  16:29:09.	6.720768E-2	3.246662E+0
9/18/2019  16:29:09.	6.430879E-2	3.195287E+0
9/18/2019  16:29:09.	6.318145E-2	3.141657E+0
9/18/2019  16:29:09.	6.398669E-2	3.093502E+0
9/18/2019  16:29:09.	6.092675E-2	3.041644E+0
9/18/2019  16:29:09.	6.092675E-2	2.990107E+0
9/18/2019  16:29:09.	5.770576E-2	2.933578E+0
9/18/2019  16:29:09.	5.770576E-2	2.880109E+0
9/18/2019  16:29:09.	5.561212E-2	2.821970E+0
9/18/2019  16:29:09.	5.464583E-2	2.769467E+0
9/18/2019  16:29:09.	5.126379E-2	2.716803E+0
9/18/2019  16:29:09.	4.997539E-2	2.655443E+0
9/18/2019  16:29:09.	4.627125E-2	2.598108E+0
9/18/2019  16:29:09.	4.707650E-2	2.540774E+0
9/18/2019  16:29:09.	4.401656E-2	2.482313E+0
9/18/2019  16:29:09.	4.272817E-2	2.424818E+0
9/18/2019  16:29:09.	3.918508E-2	2.366195E+0
9/18/2019  16:29:09.	3.725249E-2	2.304835E+0
9/18/2019  16:29:09.	3.886298E-2	2.242830E+0
9/18/2019  16:29:09.	3.483674E-2	2.186624E+0
9/18/2019  16:29:09.	3.725249E-2	2.123009E+0
9/18/2019  16:29:09.	3.467569E-2	2.060038E+0
9/18/2019  16:29:09.	3.467569E-2	1.999805E+0
9/18/2019  16:29:09.	2.903896E-2	1.939250E+0
9/18/2019  16:29:09.	2.791162E-2	1.873703E+0
9/18/2019  16:29:09.	2.823372E-2	1.812182E+0
9/18/2019  16:29:09.	2.420748E-2	1.748889E+0
9/18/2019  16:29:09.	2.243594E-2	1.683825E+0
9/18/2019  16:29:09.	2.163069E-2	1.622464E+0
9/18/2019  16:29:09.	1.953705E-2	1.559977E+0
9/18/2019  16:29:09.	1.647711E-2	1.493302E+0
9/18/2019  16:29:09.	1.406137E-2	1.423407E+0
9/18/2019  16:29:09.	1.438347E-2	1.357537E+0
9/18/2019  16:29:09.	1.148458E-2	1.296016E+0
9/18/2019  16:29:09.	1.132353E-2	1.229503E+0
9/18/2019  16:29:09.	9.229883E-3	1.166693E+0
9/18/2019  16:29:09.	8.746735E-3	1.099374E+0
